CustomerID,FirstName,LastName,Segment,City,Region,Country,PreferredChannel,LoyaltyTier,SignupDate
300001,Ananya,Lewis,Retail,Atlanta,North America,USA,Walk-in,Gold,2020-07-20
300002,Aarav,Scott,Fleet,Madrid,Europe,Spain,Email,Silver,2025-10-01
300003,Sophia,Scott,Luxury,Perth,ANZ,Australia,SMS,Silver,2025-11-29
300004,Elijah,Johnson,Luxury,Phoenix,North America,USA,Email,Platinum,2021-01-10
300005,Aarav,Lewis,Value Buyer,Boston,North America,USA,Walk-in,Gold,2021-08-13
300006,Ananya,King,Retail,New York,North America,USA,Walk-in,Bronze,2023-12-26
300007,Saanvi,Clark,Retail,Houston,North America,USA,SMS,Gold,2022-10-11
300008,Saanvi,Iyer,Luxury,Denver,North America,USA,App,Gold,2022-09-05
300009,Aiden,Scott,Corporate,Milan,Europe,Italy,Email,Silver,2024-12-29
300010,Meera,Moore,Luxury,Delhi,India,India,Email,Gold,2019-01-12
300011,Riya,Hall,EV Enthusiast,Brisbane,ANZ,Australia,SMS,Silver,2021-05-27
300012,Priya,Reddy,Luxury,Auckland,ANZ,New Zealand,App,Gold,2020-10-07
300013,Ishaan,Anderson,Family,Chennai,India,India,Email,Bronze,2025-02-25
300014,Vihaan,Scott,Retail,Paris,Europe,France,Phone,Gold,2021-11-11
300015,Aaliyah,Clark,Retail,Adelaide,ANZ,Australia,Walk-in,Silver,2024-07-07
300016,Priya,White,Value Buyer,Seattle,North America,USA,Email,Bronze,2023-11-10
300017,Elijah,Taylor,Family,New York,North America,USA,SMS,Platinum,2020-08-14
300018,Lucas,Young,Family,Paris,Europe,France,App,Gold,2019-10-24
300019,Mason,Taylor,Family,Dallas,North America,USA,Walk-in,Silver,2022-06-24
300020,Aiden,Wilson,Family,Auckland,ANZ,New Zealand,Walk-in,Bronze,2024-01-04
300021,Harper,Kumar,Luxury,Melbourne,ANZ,Australia,App,Silver,2024-11-03
300022,Daniel,King,EV Enthusiast,Miami,North America,USA,Phone,Gold,2023-04-20
300023,Riya,Patel,Value Buyer,Auckland,ANZ,New Zealand,App,Gold,2019-11-05
300024,Ethan,Kumar,EV Enthusiast,Christchurch,ANZ,New Zealand,Phone,Bronze,2025-02-25
300025,Lucas,White,Corporate,Chicago,North America,USA,Phone,Bronze,2022-07-18
300026,Aarav,Moore,Family,Berlin,Europe,Germany,Email,Bronze,2024-07-26
300027,Mia,Anderson,Family,Miami,North America,USA,Email,Bronze,2019-10-23
300028,Meera,Iyer,Corporate,Adelaide,ANZ,Australia,Email,Gold,2021-07-03
300029,Noah,Lewis,Value Buyer,Chennai,India,India,Phone,Bronze,2023-06-10
300030,Vihaan,Iyer,Retail,Sydney,ANZ,Australia,App,Silver,2025-02-10
300031,Ava,Thomas,Value Buyer,Toronto,North America,Canada,SMS,Bronze,2023-06-02
300032,Mia,Singh,Family,Auckland,ANZ,New Zealand,Phone,Silver,2024-03-15
300033,Noah,Patel,Luxury,Paris,Europe,France,SMS,Platinum,2022-11-10
300034,Kiran,Sharma,Value Buyer,Sydney,ANZ,Australia,Email,Bronze,2019-09-03
300035,Elijah,Wright,Retail,Adelaide,ANZ,Australia,Email,Silver,2021-12-07
300036,Saanvi,King,EV Enthusiast,Manchester,Europe,UK,App,Gold,2022-04-27
300037,Meera,Sharma,Corporate,Auckland,ANZ,New Zealand,Walk-in,Bronze,2019-04-26
300038,Ananya,Kumar,Luxury,Los Angeles,North America,USA,Walk-in,Bronze,2022-06-29
300039,Amelia,Harris,Retail,Lyon,Europe,France,Walk-in,Gold,2019-10-21
300040,Isabella,Young,EV Enthusiast,Paris,Europe,France,App,Bronze,2021-01-19
300041,Harper,Clark,Value Buyer,Amsterdam,Europe,Netherlands,Phone,Silver,2019-09-26
300042,Liam,Wilson,Retail,New York,North America,USA,SMS,Silver,2024-11-05
300043,Ethan,Scott,Family,Sydney,ANZ,Australia,App,Bronze,2022-11-06
300044,Riya,Young,Retail,Miami,North America,USA,Email,Platinum,2020-08-14
300045,Vihaan,Iyer,Retail,Sydney,ANZ,Australia,SMS,Silver,2022-12-08
300046,Aiden,Wilson,Luxury,Madrid,Europe,Spain,Walk-in,Silver,2020-01-03
300047,Ananya,Brown,Corporate,Seattle,North America,USA,SMS,Bronze,2021-03-10
300048,Vihaan,Lee,Luxury,Bengaluru,India,India,Email,Silver,2019-07-15
300049,Isabella,Taylor,Family,Phoenix,North America,USA,Email,Bronze,2019-12-20
300050,Aiden,Moore,Retail,Amsterdam,Europe,Netherlands,Walk-in,Platinum,2020-02-09
300051,Aarav,Wilson,EV Enthusiast,Chicago,North America,USA,SMS,Gold,2019-03-31
300052,Lucas,Harris,Value Buyer,Houston,North America,USA,SMS,Bronze,2023-06-06
300053,Emma,Wilson,Family,Amsterdam,Europe,Netherlands,SMS,Platinum,2021-01-22
300054,Lucas,Reddy,Value Buyer,Denver,North America,USA,Email,Silver,2022-03-18
300055,Saanvi,Martin,Retail,Portland,North America,USA,App,Gold,2024-08-17
300056,Mia,Moore,Luxury,Bengaluru,India,India,App,Bronze,2019-10-04
300057,Elijah,White,Value Buyer,Barcelona,Europe,Spain,Phone,Silver,2023-06-11
300058,Saanvi,Thomas,Luxury,Hyderabad,India,India,Email,Silver,2021-07-29
300059,Saanvi,Clark,EV Enthusiast,Brisbane,ANZ,Australia,SMS,Platinum,2020-09-09
300060,Emma,Walker,Luxury,Sydney,ANZ,Australia,Phone,Silver,2023-12-05
300061,Aiden,Harris,Family,Atlanta,North America,USA,Walk-in,Gold,2022-02-12
300062,Vihaan,Wright,Luxury,Milan,Europe,Italy,App,Silver,2019-12-27
300063,Emma,Clark,Retail,Pune,India,India,App,Gold,2020-08-28
300064,Harper,Sharma,Family,Madrid,Europe,Spain,App,Bronze,2022-07-08
300065,Ava,Moore,Retail,Bengaluru,India,India,App,Bronze,2022-03-19
300066,Isabella,Thomas,Fleet,Toronto,North America,Canada,App,Gold,2019-06-19
300067,Olivia,Smith,Retail,Amsterdam,Europe,Netherlands,Walk-in,Silver,2019-05-31
300068,Daniel,Lewis,Corporate,Madrid,Europe,Spain,App,Bronze,2024-08-15
300069,Elijah,Hall,Fleet,Chicago,North America,USA,Phone,Bronze,2022-04-01
300070,Olivia,Taylor,Fleet,Melbourne,ANZ,Australia,App,Silver,2022-05-01
300071,Kiran,Walker,Family,Sydney,ANZ,Australia,App,Silver,2020-08-10
300072,Mason,Scott,Retail,Mumbai,India,India,Email,Gold,2020-05-13
300073,Ethan,Sharma,Retail,Denver,North America,USA,SMS,Bronze,2024-12-30
300074,Amelia,Moore,Fleet,San Francisco,North America,USA,Walk-in,Bronze,2019-08-12
300075,Vihaan,Green,EV Enthusiast,Hyderabad,India,India,SMS,Gold,2020-06-29
300076,Ethan,Green,Value Buyer,Hyderabad,India,India,Email,Silver,2023-01-06
300077,Mia,Green,EV Enthusiast,Toronto,North America,Canada,Phone,Bronze,2023-08-18
300078,Isabella,Scott,Retail,Manchester,Europe,UK,Email,Platinum,2021-12-14
300079,Vihaan,Lewis,Corporate,Milan,Europe,Italy,Walk-in,Gold,2024-06-03
300080,Aarav,Clark,Luxury,Perth,ANZ,Australia,App,Silver,2019-09-16
300081,Saanvi,Clark,EV Enthusiast,Christchurch,ANZ,New Zealand,Email,Bronze,2021-06-22
300082,Liam,Hall,Corporate,Melbourne,ANZ,Australia,Email,Bronze,2022-10-14
300083,Priya,Iyer,Family,Manchester,Europe,UK,Phone,Gold,2022-01-19
300084,Ishaan,Reddy,Luxury,Chicago,North America,USA,Email,Silver,2025-08-13
300085,Meera,Sharma,EV Enthusiast,Miami,North America,USA,SMS,Silver,2023-08-08
300086,Olivia,Brown,EV Enthusiast,Toronto,North America,Canada,Phone,Bronze,2022-01-01
300087,Sophia,Jackson,Family,Toronto,North America,Canada,App,Bronze,2024-11-14
300088,Ishaan,Allen,Value Buyer,London,Europe,UK,SMS,Bronze,2023-05-22
300089,Evelyn,Hall,Retail,London,Europe,UK,Phone,Gold,2025-11-03
300090,Olivia,Singh,Family,Milan,Europe,Italy,Email,Gold,2024-09-06
300091,Charlotte,Green,Retail,Paris,Europe,France,Email,Bronze,2021-01-11
300092,Ishaan,Scott,Value Buyer,Berlin,Europe,Germany,SMS,Bronze,2020-09-15
300093,Meera,Walker,Value Buyer,Los Angeles,North America,USA,App,Bronze,2022-11-15
300094,Saanvi,Moore,Retail,Adelaide,ANZ,Australia,Phone,Bronze,2022-04-25
300095,Riya,Harris,Value Buyer,Los Angeles,North America,USA,SMS,Silver,2019-02-07
300096,Vihaan,Johnson,Family,Adelaide,ANZ,Australia,Email,Bronze,2024-10-12
300097,Aaliyah,Brown,Retail,Barcelona,Europe,Spain,App,Gold,2023-12-16
300098,Evelyn,Hall,Retail,Seattle,North America,USA,Email,Gold,2021-08-04
300099,Mia,Johnson,Corporate,Boston,North America,USA,Phone,Silver,2023-10-19
300100,Aarav,Nair,Retail,Mumbai,India,India,Email,Gold,2022-02-22
300101,Noah,Green,Fleet,San Francisco,North America,USA,App,Bronze,2020-09-08
300102,Mason,Nair,Retail,London,Europe,UK,Email,Bronze,2024-06-30
300103,Aiden,Taylor,EV Enthusiast,London,Europe,UK,SMS,Silver,2020-03-05
300104,Aaliyah,Johnson,EV Enthusiast,Chennai,India,India,SMS,Platinum,2025-01-09
300105,Meera,Lee,EV Enthusiast,Lyon,Europe,France,App,Silver,2021-08-29
300106,Ava,Lewis,Retail,Chennai,India,India,SMS,Bronze,2020-09-05
300107,Aarav,Wright,Retail,Milan,Europe,Italy,App,Bronze,2023-12-20
300108,Mia,Taylor,Value Buyer,Denver,North America,USA,SMS,Silver,2022-09-13
300109,Liam,King,Fleet,Amsterdam,Europe,Netherlands,SMS,Bronze,2025-03-29
300110,Evelyn,Patel,Luxury,Boston,North America,USA,App,Platinum,2025-04-06
300111,Mason,Lee,Retail,Vancouver,North America,Canada,Email,Bronze,2020-03-18
300112,Elijah,Green,Luxury,Berlin,Europe,Germany,Phone,Platinum,2025-10-06
300113,Aaliyah,Singh,EV Enthusiast,Madrid,Europe,Spain,SMS,Bronze,2022-01-26
300114,Evelyn,Young,Retail,Mumbai,India,India,Email,Gold,2023-04-22
300115,Amelia,Johnson,Retail,Miami,North America,USA,Email,Gold,2025-10-03
300116,Vihaan,Hall,Fleet,Denver,North America,USA,Email,Bronze,2022-11-09
300117,Ethan,Walker,Retail,Milan,Europe,Italy,Walk-in,Gold,2023-09-08
300118,Mason,Jackson,Retail,Manchester,Europe,UK,App,Bronze,2024-01-22
300119,Evelyn,Johnson,Family,Perth,ANZ,Australia,Walk-in,Gold,2020-12-22
300120,Lucas,Wilson,Retail,Sydney,ANZ,Australia,SMS,Gold,2025-10-11
300121,Mia,Kumar,Corporate,Brisbane,ANZ,Australia,Walk-in,Gold,2020-11-15
300122,Lucas,Wright,Family,Manchester,Europe,UK,SMS,Silver,2024-07-27
300123,Amelia,Green,Fleet,San Francisco,North America,USA,SMS,Silver,2019-05-28
300124,Aaliyah,Young,EV Enthusiast,Hyderabad,India,India,Walk-in,Bronze,2025-07-31
300125,Sophia,Iyer,Retail,Melbourne,ANZ,Australia,Email,Bronze,2024-07-15
300126,Aarav,Lewis,Value Buyer,Barcelona,Europe,Spain,Email,Platinum,2019-02-04
300127,Harper,Martin,Corporate,Atlanta,North America,USA,Walk-in,Bronze,2019-09-21
300128,Meera,Young,Luxury,Hyderabad,India,India,App,Platinum,2022-05-24
